Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Cargo Weight LBS,Cargo Metric TONS
201804,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Cargo,Passenger,483699,219.406
201804,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Mail,Passenger,809003,366.964
201804,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Freighter,909441,412.522
201804,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Passenger,546253,247.78
201804,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Mail,Freighter,7114,3.227
201804,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Mail,Passenger,121182,54.968
201804,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Freighter,1835640,832.646
201804,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Passenger,194467,88.21
201804,Atlas Air, Inc,5Y,Atlas Air, Inc,5Y,Domestic,US,Deplaned,Cargo,Freighter,7141053,3239.182
201804,Atlas Air, Inc,5Y,Atlas Air, Inc,5Y,Domestic,US,Enplaned,Cargo,Freighter,3226040,1463.332
201804,Atlas Air, Inc,5Y,Atlas Air, Inc,5Y,International,Asia,Enplaned,Cargo,Freighter,1397156,633.75
201804,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Cargo,Passenger,654984,297.101
201804,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Mail,Passenger,49553,22.477
201804,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Cargo,Passenger,668989,303.453
201804,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Mail,Passenger,50945,23.109
201804,COPA Airlines, Inc.,CM,COPA Airlines, Inc.,CM,International,Central America,Deplaned,Cargo,Passenger,1897,0.86
201804,COPA Airlines, Inc.,CM,COPA Airlines, Inc.,CM,International,Central America,Enplaned,Cargo,Passenger,6717,3.047
201804,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Cargo,Passenger,1495863,678.523
201804,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Mail,Passenger,605464,274.638
201804,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Cargo,Passenger,300419,136.27
201804,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Cargo,Freighter,968425,439.278
201804,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Cargo,Passenger,348350,158.012
201804,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Mail,Freighter,237304,107.641
201804,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Mail,Passenger,289448,131.294
201804,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Cargo,Freighter,1247987,566.087
201804,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Cargo,Passenger,281759,127.806
201804,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Mail,Passenger,77000,34.927
201804,China Eastern,MU,China Eastern,MU,International,Asia,Deplaned,Cargo,Passenger,606637,275.171
201804,China Eastern,MU,China Eastern,MU,International,Asia,Enplaned,Cargo,Passenger,273834,124.211
201804,China Southern,CZ,China Southern,CZ,International,Asia,Deplaned,Cargo,Passenger,476558,216.167
201804,China Southern,CZ,China Southern,CZ,International,Asia,Deplaned,Mail,Passenger,221732,100.578
201804,China Southern,CZ,China Southern,CZ,International,Asia,Enplaned,Cargo,Passenger,254158,115.286
201804,Compass Airlines,CP,American Airlines,AA,Domestic,US,Deplaned,Mail,Passenger,185,0.084
201804,Compass Airlines,CP,American Airlines,AA,Domestic,US,Enplaned,Cargo,Passenger,272,0.123
201804,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Express,Passenger,866294,392.951
201804,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Mail,Passenger,920169,417.389
201804,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Cargo,Passenger,619398,280.959
201804,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Mail,Passenger,1465528,664.764
201804,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Passenger,2351005,1066.416
201804,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Express,Passenger,2524,1.145
201804,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Mail,Passenger,212228,96.267
201804,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Cargo,Passenger,1165430,528.639
201804,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Express,Passenger,21468,9.738
201801,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Cargo,Passenger,989830,448.987
201801,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Mail,Passenger,189148,85.798
201801,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Cargo,Passenger,535502,242.904
201801,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Cargo,Passenger,241762,109.663
201801,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Mail,Passenger,376162,170.627
201801,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Cargo,Passenger,485928,220.417
201801,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Mail,Passenger,1052539,477.432
201801,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Freighter,743093,337.067
201801,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Passenger,211427,95.903
201801,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Mail,Freighter,8454,3.835
201801,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Mail,Passenger,119619,54.259
201801,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Freighter,1893603,858.938
201801,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Passenger,216209,98.072
201801,Atlas Air, Inc,5Y,Atlas Air, Inc,5Y,Domestic,US,Deplaned,Cargo,Freighter,5848242,2652.763
201801,Atlas Air, Inc,5Y,Atlas Air, Inc,5Y,Domestic,US,Enplaned,Cargo,Freighter,3232493,1466.259
201801,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Cargo,Passenger,758945,344.257
201801,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Mail,Passenger,90510,41.055
201801,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Cargo,Passenger,646349,293.184
201801,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Mail,Passenger,38027,17.249
201801,COPA Airlines, Inc.,CM,COPA Airlines, Inc.,CM,International,Central America,Deplaned,Cargo,Passenger,7521,3.412
201801,COPA Airlines, Inc.,CM,COPA Airlines, Inc.,CM,International,Central America,Enplaned,Cargo,Passenger,6177,2.802
201801,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Cargo,Passenger,1250908,567.412
201801,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Mail,Passenger,700664,317.821
201801,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Cargo,Passenger,483356,219.25
201801,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Cargo,Freighter,752859,341.497
201801,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Cargo,Passenger,355867,161.421
201801,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Mail,Freighter,265147,120.271
201801,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Mail,Passenger,213942,97.044
201801,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Cargo,Freighter,956941,434.068
201801,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Cargo,Passenger,208792,94.708
201801,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Mail,Passenger,32804,14.88
201801,China Eastern,MU,China Eastern,MU,International,Asia,Deplaned,Cargo,Passenger,534452,242.427
201801,China Eastern,MU,China Eastern,MU,International,Asia,Enplaned,Cargo,Passenger,233327,105.837
201801,China Southern,CZ,China Southern,CZ,International,Asia,Deplaned,Cargo,Passenger,335299,152.092
201801,China Southern,CZ,China Southern,CZ,International,Asia,Deplaned,Mail,Passenger,249616,113.226
201801,China Southern,CZ,China Southern,CZ,International,Asia,Enplaned,Cargo,Passenger,164346,74.547
201801,Compass Airlines,CP,American Airlines,AA,Domestic,US,Deplaned,Cargo,Passenger,364,0.165
201801,Compass Airlines,CP,American Airlines,AA,Domestic,US,Deplaned,Mail,Passenger,136,0.062
201801,Compass Airlines,CP,American Airlines,AA,Domestic,US,Enplaned,Cargo,Passenger,1380,0.626
201801,Compass Airlines,CP,American Airlines,AA,Domestic,US,Enplaned,Mail,Passenger,2250,1.021
201801,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Cargo,Passenger,842834,382.31
201801,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Mail,Passenger,836295,379.343
201801,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Cargo,Passenger,738618,335.037
201801,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Mail,Passenger,1328562,602.636
201801,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Passenger,1865452,846.169
201801,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Express,Passenger,1455,0.66
201801,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Mail,Passenger,201442,91.374
201801,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Cargo,Passenger,900231,408.345
201801,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Express,Passenger,15406,6.988
201801,Emirates,EK,Emirates,EK,International,Middle East,Deplaned,Cargo,Passenger,407972,185.056
201801,Emirates,EK,Emirates,EK,International,Middle East,Enplaned,Cargo,Passenger,260905,118.347
201801,Federal Express,FX,Federal Express,FX,Domestic,US,Deplaned,Cargo,Freighter,2698282,1223.941
201801,Federal Express,FX,Federal Express,FX,Domestic,US,Enplaned,Cargo,Freighter,2688812,1219.645
201801,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Cargo,Passenger,265726,120.533
201801,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Cargo,Passenger,923675,418.979
201801,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Express,Passenger,1,0
201801,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Mail,Passenger,1801,0.817
201801,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Mail,Passenger,3985,1.808
201801,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Cargo,Passenger,827113,375.178
201801,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Mail,Passenger,217682,98.741
201801,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Cargo,Passenger,562746,255.262
201801,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Mail,Passenger,79099,35.879
201801,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Cargo,Passenger,630748,286.107
201801,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Mail,Passenger,19046,8.639
201801,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Cargo,Passenger,501498,227.479
